"probes"	"genes"
"A_44_P122540"	"Nothing"
"A_44_P122545"	"Nothing"
"A_44_P122547"	"Pdcd6ip"
"A_44_P122595"	"Nothing"
"A_44_P122605"	"Nothing"
"A_44_P122620"	"Nothing"
"A_44_P122632"	"B2m"
"A_44_P122644"	"Nothing"
"A_44_P122661"	"Nothing"
"A_44_P122675"	"Nothing"
"A_44_P122723"	"Nothing"
"A_44_P122739"	"Nothing"
"A_44_P122777"	"Nothing"
"A_44_P122812"	"Gkap1"
"A_44_P122826"	"Nothing"
"A_44_P122841"	"Nothing"
"A_44_P122884"	"Nothing"
"A_44_P122897"	"Nothing"
"A_44_P122912"	"Ces1c"
"A_44_P122927"	"Nothing"
"A_44_P122988"	"Setd3"
"A_44_P123011"	"Nothing"
"A_44_P123033"	"Klhl5"
"A_44_P123078"	"Nothing"
"A_44_P123093"	"Msn"
"A_44_P123102"	"LOC294154"
"A_44_P123119"	"Nothing"
"A_44_P123125"	"Nothing"
"A_44_P123156"	"Nothing"
"A_44_P123158"	"Nothing"
"A_44_P123172"	"Nothing"
"A_44_P123209"	"Nothing"
"A_44_P123255"	"Api5"
"A_44_P123271"	"Nothing"
"A_44_P123296"	"Lhfpl4"
"A_44_P123315"	"Gpx1"
"A_44_P123333"	"Pparg"
"A_44_P123370"	"Ppm1f"
"A_44_P123381"	"Prkg2"
"A_44_P123403"	"Olr1105"
"A_44_P123408"	"Olr823"
"A_44_P123412"	"Olr1652"
"A_44_P123422"	"Olr1179"
"A_44_P123439"	"Olr1683"
"A_44_P123450"	"Olr663"
"A_44_P123461"	"Olr1304"
"A_44_P123473"	"Aurkaip1"
"A_44_P123483"	"Tpmt"
"A_44_P123492"	"Epb41l3"
"A_44_P123500"	"Sspo"
"A_44_P123515"	"Prb1"
"A_44_P123537"	"Capn9"
"A_44_P123542"	"Dlx1"
"A_44_P123543"	"Lin7a"
"A_44_P123550"	"Trdn"
"A_44_P123563"	"Nothing"
"A_44_P123566"	"Cacna1g"
"A_44_P123571"	"Acy1"
"A_44_P123622"	"Nothing"
"A_44_P123631"	"Atp9b"
"A_44_P123636"	"Col11a1"
"A_44_P123677"	"Syngr1"
"A_44_P123704"	"Nothing"
"A_44_P123706"	"Nothing"
"A_44_P123732"	"RGD1563307"
"A_44_P123742"	"Nothing"
"A_44_P123757"	"Nothing"
"A_44_P123773"	"Trim66"
"A_44_P123785"	"Lyrm1"
"A_44_P123788"	"Paox"
"A_44_P123813"	"Cobl"
"A_44_P123818"	"Nothing"
"A_44_P123828"	"Tectb"
"A_44_P123841"	"Nothing"
"A_44_P123857"	"Nothing"
"A_44_P123870"	"Hs6st3"
"A_44_P123877"	"Nothing"
"A_44_P123887"	"Smc4"
"A_44_P123891"	"Tmem154"
"A_44_P123898"	"Ddhd2"
"A_44_P123908"	"Ap1ar"
"A_44_P123918"	"Slc35d2"
"A_44_P123926"	"Ifi44l"
"A_44_P123949"	"Nothing"
"A_44_P123954"	"Nothing"
"A_44_P123965"	"Nothing"
"A_44_P123974"	"Nothing"
"A_44_P123984"	"RGD1561728"
"A_44_P123994"	"Dstn"
"A_44_P124013"	"Tcf15"
"A_44_P124027"	"Ftsjd1"
"A_44_P124055"	"Nr2e1"
"A_44_P124074"	"Nothing"
"A_44_P124091"	"Nothing"
"A_44_P124095"	"Prdm13"
"A_44_P124099"	"Nothing"
"A_44_P124104"	"Nothing"
"A_44_P124121"	"LOC363337"
"A_44_P124134"	"Nothing"
"A_44_P124143"	"Nothing"
"A_44_P124146"	"Nothing"
"A_44_P124167"	"Nothing"
"A_44_P124176"	"Lin52"
"A_44_P124195"	"Nuak1"
"A_44_P124213"	"Nothing"
"A_44_P124219"	"Sln"
"A_44_P124225"	"Rad21"
"A_44_P124243"	"Nothing"
"A_44_P124250"	"Ano10"
"A_44_P124259"	"Nothing"
"A_44_P124265"	"RGD1559808"
"A_44_P124277"	"Dnah7"
"A_44_P124289"	"RGD1305664"
"A_44_P124294"	"Orc2"
"A_44_P124303"	"Nothing"
"A_44_P124324"	"Zfp385c"
"A_44_P124335"	"Nothing"
"A_44_P124350"	"Nothing"
"A_44_P124355"	"Nothing"
"A_44_P124361"	"Nothing"
"A_44_P124363"	"Nothing"
"A_44_P124367"	"Nothing"
"A_44_P124592"	"Cyb561"
"A_44_P124642"	"Nothing"
"A_44_P124696"	"Nothing"
"A_44_P124707"	"Nothing"
"A_44_P124717"	"Rbm34"
"A_44_P124723"	"Nothing"
"A_44_P124732"	"Nothing"
"A_44_P124733"	"Zp2"
"A_44_P124751"	"Ccdc71"
"A_44_P124772"	"Nothing"
"A_44_P124884"	"Nothing"
"A_44_P124922"	"Nothing"
"A_44_P124940"	"Nothing"
"A_44_P124968"	"Nothing"
"A_44_P124982"	"Nothing"
"A_44_P125025"	"Tgfb3"
"A_44_P125042"	"Top2b"
"A_44_P125069"	"Tp53inp2"
"A_44_P125123"	"Nothing"
"A_44_P125136"	"Nothing"
"A_44_P125145"	"Nothing"
"A_44_P125160"	"Nothing"
"A_44_P125188"	"Nothing"
"A_44_P125221"	"Nothing"
"A_44_P125226"	"LOC100359454"
"A_44_P125264"	"Nothing"
"A_44_P125273"	"Nothing"
"A_44_P125304"	"Nothing"
"A_44_P125345"	"Nothing"
"A_44_P125352"	"Nothing"
"A_44_P125355"	"Nothing"
"A_44_P125396"	"Nothing"
"A_44_P125399"	"Nothing"
"A_44_P125404"	"Nothing"
"A_44_P125409"	"Nothing"
"A_44_P125420"	"Nothing"
"A_44_P125432"	"Ubtf"
"A_44_P125443"	"Nothing"
"A_44_P125471"	"Gpr158"
"A_44_P125487"	"Nothing"
"A_44_P125539"	"Cav3"
"A_44_P125553"	"Nothing"
"A_44_P125564"	"Bok"
"A_44_P125575"	"Nothing"
"A_44_P125623"	"Nothing"
"A_44_P125646"	"Kcnd3"
"A_44_P125659"	"Grina"
"A_44_P125681"	"Dnmt1"
"A_44_P125710"	"Pex5l"
"A_44_P125733"	"Madcam1"
"A_44_P125744"	"Olr996"
"A_44_P125761"	"Olr7"
"A_44_P125764"	"Olr499"
"A_44_P125788"	"Olr231"
"A_44_P125793"	"Olr466"
"A_44_P125803"	"Olr144"
"A_44_P125823"	"LOC500877"
"A_44_P125836"	"LOC100362172"
"A_44_P125843"	"Ppfia4"
"A_44_P125865"	"Nup98"
"A_44_P125878"	"Nothing"
"A_44_P125895"	"Nothing"
"A_44_P125913"	"Syt1"
"A_44_P125942"	"Trhde"
"A_44_P125945"	"Nothing"
"A_44_P125974"	"Gpx6"
"A_44_P125994"	"Uck1"
"A_44_P126021"	"Igf1"
"A_44_P126027"	"Pfkfb4"
"A_44_P126055"	"Fkbp6"
"A_44_P126061"	"Oasl2"
"A_44_P126078"	"RGD1310257"
"A_44_P126085"	"Map4k1"
"A_44_P126092"	"Ruvbl2"
"A_44_P126103"	"Nothing"
"A_44_P126114"	"Nothing"
"A_44_P126131"	"Tbc1d1"
"A_44_P126134"	"Syvn1"
"A_44_P126147"	"Nothing"
"A_44_P126154"	"Cdc37l1"
"A_44_P126161"	"Cdc37l1"
"A_44_P126164"	"Nothing"
"A_44_P126192"	"LOC100360420"
"A_44_P126202"	"Nothing"
"A_44_P126239"	"Nothing"
"A_44_P126249"	"Capza1"
"A_44_P126261"	"LOC100365207"
"A_44_P126276"	"Dolpp1"
"A_44_P126289"	"Gli3"
"A_44_P126292"	"Nothing"
"A_44_P126310"	"Ik"
"A_44_P126311"	"Nothing"
"A_44_P126334"	"Nothing"
"A_44_P126355"	"Rbm38"
"A_44_P126360"	"Nothing"
"A_44_P126366"	"Klhdc10"
"A_44_P126381"	"Nothing"
"A_44_P126389"	"Slc25a26"
"A_44_P126406"	"Nothing"
"A_44_P126412"	"Tmem67"
"A_44_P126425"	"Nothing"
"A_44_P126437"	"Nothing"
"A_44_P126448"	"RGD1564845"
"A_44_P126465"	"Cdkl4"
"A_44_P126473"	"Nothing"
"A_44_P126491"	"Camta1"
"A_44_P126498"	"Klhdc1"
"A_44_P126506"	"Pomt2"
"A_44_P126522"	"Nothing"
"A_44_P126545"	"Lrriq1"
"A_44_P126559"	"Nothing"
"A_44_P126564"	"Mon1a"
"A_44_P126572"	"Zfp251"
"A_44_P126590"	"Ubr2"
"A_44_P126597"	"Paqr4"
"A_44_P126603"	"Rasgef1c"
"A_44_P126613"	"Dnajb2"
"A_44_P126638"	"Nothing"
"A_44_P126642"	"Ttc3"
"A_44_P126669"	"Nothing"
"A_44_P126681"	"Nothing"
"A_44_P126692"	"Nothing"
"A_44_P126703"	"Nothing"
"A_44_P126714"	"Nothing"
"A_44_P126715"	"Nothing"
"A_44_P126720"	"Nothing"
"A_44_P126730"	"Cml1"
"A_44_P126762"	"Nothing"
"A_44_P126800"	"Nothing"
"A_44_P126834"	"Nothing"
"A_44_P126868"	"Fkbp1b"
"A_44_P126886"	"Nothing"
"A_44_P126938"	"LOC171161"
"A_44_P127014"	"Nek9"
"A_44_P127070"	"Nothing"
"A_44_P127156"	"Nothing"
"A_44_P127196"	"Nothing"
"A_44_P127238"	"Chchd8"
"A_44_P127254"	"Nothing"
"A_44_P127267"	"Nothing"
"A_44_P127278"	"Nothing"
"A_44_P127294"	"Nothing"
"A_44_P127318"	"Nothing"
"A_44_P127328"	"Nothing"
"A_44_P127337"	"Rbpms"
"A_44_P127350"	"Nothing"
"A_44_P127442"	"Cpt1a"
"A_44_P127467"	"Bace1"
"A_44_P127483"	"Nothing"
"A_44_P127486"	"Nothing"
"A_44_P127497"	"Nothing"
"A_44_P127542"	"Nothing"
"A_44_P127560"	"Nothing"
"A_44_P127597"	"Dnajb9"
"A_44_P127624"	"Nothing"
"A_44_P127638"	"Nothing"
"A_44_P127676"	"Nothing"
"A_44_P127695"	"Nothing"
"A_44_P127727"	"Nothing"
"A_44_P127736"	"Nothing"
"A_44_P127740"	"Maf1"
"A_44_P127749"	"Tmem150c"
"A_44_P127784"	"Rbfox1"
"A_44_P127802"	"Specc1l"
"A_44_P127829"	"Nothing"
"A_44_P127836"	"Nothing"
"A_44_P127869"	"Id4"
"A_44_P127910"	"Nothing"
"A_44_P127933"	"Nothing"
"A_44_P127948"	"Nothing"
"A_44_P127958"	"Myo9a"
"A_44_P127962"	"Gpr135"
"A_44_P128007"	"Slco2b1"
"A_44_P128013"	"Mrgprx3"
"A_44_P128029"	"Olr1462"
"A_44_P128042"	"Sh3rf1"
"A_44_P128062"	"Syt17"
"A_44_P128071"	"Olr311"
"A_44_P128079"	"Olr1557"
"A_44_P128101"	"Olr1111"
"A_44_P128110"	"AA926063"
"A_44_P128115"	"LOC499565"
"A_44_P128126"	"Mycl1"
"A_44_P128147"	"Tf"
"A_44_P128151"	"RT1-S3"
"A_44_P128186"	"Tas1r1"
"A_44_P128195"	"Ppp1r1b"
"A_44_P128201"	"Nothing"
"A_44_P128202"	"Nothing"
"A_44_P128229"	"Baiap2"
"A_44_P128248"	"RT1-Ba"
"A_44_P128285"	"LOC171573"
"A_44_P128292"	"Akap4"
"A_44_P128306"	"Aldh8a1"
"A_44_P128326"	"Nothing"
"A_44_P128342"	"Gpr4"
"A_44_P128350"	"Lad1"
"A_44_P128359"	"Otud7a"
"A_44_P128381"	"Serpinb3"
"A_44_P128386"	"LOC100360447"
"A_44_P128396"	"Ugt2b34"
"A_44_P128423"	"Pidd"
"A_44_P128427"	"Wdpcp"
"A_44_P128435"	"RGD1307934"
"A_44_P128447"	"Abhd6"
"A_44_P128453"	"RGD1563891"
"A_44_P128463"	"Nothing"
"A_44_P128472"	"Ervfrd-1"
"A_44_P128488"	"Pbx4"
"A_44_P128500"	"Nothing"
"A_44_P128523"	"RGD1565806"
"A_44_P128537"	"Tifab"
"A_44_P128543"	"Prl5a2"
"A_44_P128554"	"Nothing"
"A_44_P128564"	"Stam"
"A_44_P128573"	"Chst9"
"A_44_P128583"	"Ranbp3"
"A_44_P128591"	"Nothing"
"A_44_P128606"	"Nothing"
"A_44_P128629"	"Gcdh"
"A_44_P128640"	"Nothing"
"A_44_P128652"	"Lrrd1"
"A_44_P128687"	"Dgkk"
"A_44_P128693"	"Bicd1"
"A_44_P128703"	"Dmd"
"A_44_P128711"	"Sh3bgrl"
"A_44_P128729"	"Akna"
"A_44_P128737"	"Nothing"
"A_44_P128747"	"Nothing"
"A_44_P128757"	"Nothing"
"A_44_P128777"	"Zfp512"
"A_44_P128782"	"Sntg2"
"A_44_P128806"	"Nothing"
"A_44_P128820"	"Nothing"
"A_44_P128829"	"Nothing"
"A_44_P128840"	"Ttc36"
"A_44_P128848"	"Nothing"
"A_44_P128867"	"Nothing"
"A_44_P128888"	"Nothing"
"A_44_P128898"	"Zdhhc25"
"A_44_P128902"	"Nudt16l1"
"A_44_P128912"	"Nothing"
"A_44_P128916"	"Acap1"
"A_44_P128929"	"Zfp692"
"A_44_P128932"	"RGD1309077"
"A_44_P128944"	"Nothing"
"A_44_P128951"	"Nothing"
"A_44_P128964"	"RGD1560175"
"A_44_P128974"	"Nothing"
"A_44_P128980"	"Nothing"
"A_44_P128982"	"LOC619574"
"A_44_P128986"	"LOC619574"
"A_44_P128995"	"Nothing"
"A_44_P129009"	"Nothing"
"A_44_P129016"	"Nothing"
"A_44_P129018"	"Nothing"
"A_44_P129029"	"Hoxa9"
"A_44_P129053"	"Nothing"
"A_44_P129099"	"Nothing"
"A_44_P129140"	"Nothing"
"A_44_P129187"	"Il17ra"
"A_44_P129255"	"Nothing"
"A_44_P129262"	"Clmn"
"A_44_P129288"	"Nothing"
"A_44_P129298"	"Slc45a3"
"A_44_P129303"	"Nothing"
"A_44_P129320"	"Nothing"
"A_44_P129330"	"Rhpn2"
"A_44_P129336"	"Nothing"
"A_44_P129407"	"Nothing"
"A_44_P129412"	"Dcx"
"A_44_P129489"	"Lrpap1"
"A_44_P129549"	"Nothing"
"A_44_P129587"	"Nothing"
"A_44_P129591"	"Nothing"
"A_44_P129608"	"RGD1305793"
"A_44_P129665"	"Nothing"
"A_44_P129666"	"Nothing"
"A_44_P129685"	"Nothing"
"A_44_P129714"	"Ctsf"
"A_44_P129749"	"Crabp2"
"A_44_P129793"	"Nothing"
"A_44_P129815"	"Nothing"
"A_44_P129827"	"Nothing"
"A_44_P129837"	"Nothing"
"A_44_P129840"	"Nothing"
"A_44_P129848"	"Nothing"
"A_44_P129853"	"Nothing"
"A_44_P129869"	"Nothing"
"A_44_P129878"	"Nothing"
"A_44_P129899"	"Nothing"
"A_44_P129900"	"Cnot6l"
"A_44_P129929"	"Nothing"
"A_44_P129992"	"Nothing"
"A_44_P130008"	"Nothing"
"A_44_P130036"	"Nothing"
"A_44_P130044"	"Nothing"
"A_44_P130063"	"Nothing"
"A_44_P130090"	"Nothing"
"A_44_P130103"	"Nothing"
"A_44_P130154"	"Uqcc"
"A_44_P130166"	"LOC683788"
"A_44_P130175"	"Nothing"
"A_44_P130194"	"Nothing"
"A_44_P130217"	"Nothing"
"A_44_P130226"	"Gpbp1"
"A_44_P130250"	"Nothing"
"A_44_P130254"	"Np4"
"A_44_P130263"	"Prok1"
"A_44_P130270"	"Nudt6"
"A_44_P130286"	"Lhcgr"
"A_44_P130333"	"Mmp11"
"A_44_P130360"	"Olr825"
"A_44_P130371"	"Olr1722"
"A_44_P130380"	"Olr1250"
"A_44_P130398"	"Dync2h1"
"A_44_P130408"	"Olr1695"
"A_44_P130416"	"Olr614"
"A_44_P130420"	"Olr1327"
"A_44_P130454"	"Slc25a14"
"A_44_P130476"	"Rnase1"
"A_44_P130491"	"Tnp2"
"A_44_P130504"	"Pth"
"A_44_P130513"	"RT1-Db1"
"A_44_P130516"	"RT1-Db1"
"A_44_P130534"	"Nothing"
"A_44_P130547"	"Nothing"
"A_44_P130559"	"Psmb1"
"A_44_P130582"	"Prelp"
"A_44_P130641"	"Txn2"
"A_44_P130653"	"Crygb"
"A_44_P130654"	"Nothing"
"A_44_P130665"	"Amz1"
"A_44_P130670"	"LOC685019"
"A_44_P130684"	"Zfp667"
"A_44_P130696"	"Opa3"
"A_44_P130700"	"Zfp74"
"A_44_P130713"	"Mamstr"
"A_44_P130722"	"Nothing"
"A_44_P130732"	"LOC682999"
"A_44_P130740"	"Trim6"
"A_44_P130753"	"Nothing"
"A_44_P130780"	"Rpl13"
"A_44_P130785"	"Slc25a39"
"A_44_P130811"	"Arsk"
"A_44_P130818"	"Nothing"
"A_44_P130829"	"Nothing"
"A_44_P130837"	"Ubac2"
"A_44_P130849"	"Ercc6"
"A_44_P130856"	"LOC100360801"
"A_44_P130864"	"RGD1565014"
"A_44_P130880"	"Usp53"
"A_44_P130894"	"Nothing"
"A_44_P130898"	"Ly86"
"A_44_P130909"	"Nothing"
"A_44_P130916"	"RGD1563564"
"A_44_P130936"	"Nothing"
"A_44_P130961"	"Fmn1"
"A_44_P130968"	"Tmx4"
"A_44_P130983"	"Nothing"
"A_44_P130992"	"Ces4a"
"A_44_P131001"	"Nothing"
"A_44_P131012"	"Orc5"
"A_44_P131031"	"Nothing"
"A_44_P131036"	"Sdccag3"
"A_44_P131046"	"Nothing"
"A_44_P131062"	"Rp1"
"A_44_P131067"	"Nothing"
"A_44_P131073"	"RGD1563104"
"A_44_P131084"	"Rbmx2"
"A_44_P131094"	"Nothing"
"A_44_P131107"	"Nothing"
"A_44_P131125"	"Nothing"
"A_44_P131133"	"Nothing"
"A_44_P131177"	"Nothing"
"A_44_P131187"	"Nothing"
"A_44_P131198"	"Btg4"
"A_44_P131209"	"Nothing"
"A_44_P131230"	"Fam113b"
"A_44_P131240"	"Nothing"
"A_44_P131248"	"Nothing"
"A_44_P131261"	"Usp22"
"A_44_P131290"	"Arhgap28"
"A_44_P131296"	"Lrrc3c"
"A_44_P131311"	"Abca9"
"A_44_P131325"	"RGD1566314"
"A_44_P131336"	"Nothing"
"A_44_P131349"	"Nothing"
"A_44_P131358"	"Nothing"
"A_44_P131362"	"Nothing"
"A_44_P131372"	"Kdelc2"
"A_44_P131443"	"Nothing"
"A_44_P131463"	"Nothing"
"A_44_P131470"	"Hexb"
"A_44_P131499"	"Nothing"
"A_44_P131506"	"Nothing"
"A_44_P131520"	"Nothing"
"A_44_P131583"	"Nothing"
"A_44_P131596"	"Nothing"
"A_44_P131654"	"Nothing"
"A_44_P131663"	"Nothing"
"A_44_P131679"	"Nothing"
"A_44_P131694"	"Phkb"
"A_44_P131717"	"Nothing"
"A_44_P131724"	"Nothing"
"A_44_P131749"	"Doc2b"
"A_44_P131762"	"Nothing"
"A_44_P131796"	"Nothing"
"A_44_P131870"	"Nothing"
"A_44_P131882"	"Nothing"
"A_44_P131897"	"Rbck1"
"A_44_P131915"	"Nothing"
"A_44_P131930"	"Nothing"
"A_44_P131944"	"Nothing"
"A_44_P131968"	"RGD1560286"
"A_44_P131986"	"Gpr6"
"A_44_P132000"	"Nothing"
"A_44_P132039"	"Yipf2"
"A_44_P132062"	"Nothing"
"A_44_P132065"	"Pkia"
"A_44_P132081"	"Nothing"
"A_44_P132111"	"Nothing"
"A_44_P132160"	"Nothing"
"A_44_P132174"	"Nothing"
"A_44_P132184"	"Cbfa2t2"
"A_44_P132239"	"Nothing"
"A_44_P132241"	"Nothing"
"A_44_P132291"	"Nothing"
"A_44_P132293"	"Nothing"
"A_44_P132325"	"Nothing"
"A_44_P132333"	"Nothing"
"A_44_P132346"	"Nothing"
"A_44_P132358"	"Nothing"
"A_44_P132392"	"Nothing"
"A_44_P132411"	"Mff"
"A_44_P132416"	"Nothing"
"A_44_P132442"	"Nothing"
"A_44_P132464"	"Nothing"
"A_44_P132470"	"Pfn1"
"A_44_P132482"	"Map3k12"
"A_44_P132522"	"Ndufs8"
"A_44_P132523"	"Ndufs8"
"A_44_P132533"	"Rfc4"
"A_44_P132563"	"Nothing"
"A_44_P132598"	"Smagp"
"A_44_P132610"	"Slc20a1"
"A_44_P132614"	"Slc20a1"
"A_44_P132628"	"Prl7b1"
"A_44_P132685"	"Tas2r123"
"A_44_P132711"	"Slc6a18"
"A_44_P132714"	"Pclo"
"A_44_P132729"	"Rdh2"
"A_44_P132733"	"Olr339"
"A_44_P132743"	"Olr1486"
"A_44_P132754"	"Rpl18a"
"A_44_P132770"	"Olr190"
"A_44_P132776"	"Olr536"
"A_44_P132783"	"Olr1385"
"A_44_P132801"	"Tsga10ip"
"A_44_P132805"	"LOC501038"
"A_44_P132815"	"Mbnl1"
"A_44_P132822"	"Cr1l"
"A_44_P132825"	"Cdh17"
"A_44_P132873"	"Grin3a"
"A_44_P132903"	"Cacna1c"
"A_44_P132918"	"Nothing"
"A_44_P132937"	"Rph3a"
"A_44_P132960"	"S100a3"
"A_44_P132967"	"Nothing"
"A_44_P133024"	"Pabpc3"
"A_44_P133034"	"Nothing"
"A_44_P133044"	"LOC682663"
"A_44_P133060"	"Nipa1"
"A_44_P133087"	"Odz4"
"A_44_P133092"	"Naa11"
"A_44_P133106"	"Nothing"
"A_44_P133119"	"Tbc1d19"
"A_44_P133123"	"Nothing"
"A_44_P133132"	"Pik3ip1"
"A_44_P133140"	"Cyp2c6v1"
"A_44_P133162"	"Rnase11"
"A_44_P133170"	"Ints9"
"A_44_P133182"	"Nothing"
"A_44_P133196"	"Adamts12"
"A_44_P133226"	"Stox2"
"A_44_P133239"	"Rptn"
"A_44_P133248"	"Ntng1"
"A_44_P133260"	"Nothing"
"A_44_P133267"	"Tmem8c"
"A_44_P133298"	"Pcdhb15"
"A_44_P133306"	"Nothing"
"A_44_P133319"	"Ano3"
"A_44_P133335"	"Nothing"
"A_44_P133344"	"Prmt7"
"A_44_P133366"	"Tulp1"
"A_44_P133386"	"Nothing"
"A_44_P133393"	"Nothing"
"A_44_P133409"	"Itfg2"
"A_44_P133415"	"MGC94199"
"A_44_P133449"	"Elf4"
"A_44_P133453"	"Nothing"
"A_44_P133464"	"Nothing"
"A_44_P133470"	"Nothing"
"A_44_P133485"	"Bend5"
"A_44_P133493"	"Nothing"
"A_44_P133519"	"Nothing"
"A_44_P133532"	"Serpina1f"
"A_44_P133544"	"Nothing"
"A_44_P133572"	"Bsx"
"A_44_P133581"	"Nothing"
"A_44_P133592"	"Mst1r"
"A_44_P133611"	"Mrpl14"
"A_44_P133618"	"Nothing"
"A_44_P133650"	"Trim37"
"A_44_P133672"	"Nothing"
"A_44_P133697"	"Fam84b"
"A_44_P133700"	"Nothing"
"A_44_P133709"	"Nothing"
"A_44_P133717"	"Nothing"
"A_44_P133728"	"Nothing"
"A_44_P133734"	"Nothing"
"A_44_P133741"	"Nothing"
"A_44_P133760"	"Nothing"
"A_44_P133799"	"Usp21"
"A_44_P133924"	"Nothing"
"A_44_P134007"	"Nothing"
"A_44_P134059"	"Nothing"
"A_44_P134070"	"Txnrd1"
"A_44_P134077"	"Nothing"
"A_44_P134094"	"Nothing"
"A_44_P134132"	"Nothing"
"A_44_P134143"	"Hspb8"
"A_44_P134186"	"Vps4a"
"A_44_P134213"	"Tpm1"
"A_44_P134287"	"Taf13"
"A_44_P134305"	"Nothing"
"A_44_P134313"	"Nothing"
"A_44_P134342"	"Nothing"
"A_44_P134357"	"Nothing"
"A_44_P134368"	"Nothing"
"A_44_P134405"	"Slc12a2"
"A_44_P134414"	"Nothing"
"A_44_P134465"	"Nothing"
"A_44_P134496"	"Nothing"
"A_44_P134542"	"Nothing"
"A_44_P134561"	"Aifm2"
"A_44_P134568"	"Nothing"
"A_44_P134584"	"Arhgdia"
"A_44_P134626"	"Nothing"
"A_44_P134634"	"Nothing"
"A_44_P134645"	"Nothing"
"A_44_P134660"	"Nothing"
"A_44_P134672"	"Snapc3"
"A_44_P134676"	"Snapc3"
"A_44_P134685"	"Tpm3"
"A_44_P134688"	"Tpm3"
"A_44_P134711"	"Nothing"
"A_44_P134739"	"Csde1"
"A_44_P134742"	"Ap4s1"
"A_44_P134748"	"Ap4s1"
"A_44_P134759"	"Nothing"
"A_44_P134761"	"Nothing"
"A_44_P134809"	"Nothing"
"A_44_P134825"	"Tbce"
"A_44_P134849"	"Nothing"
"A_44_P134865"	"Snrnp40"
"A_44_P134897"	"Nothing"
"A_44_P134917"	"Nothing"
"A_44_P134939"	"Nothing"
"A_44_P134966"	"Ndufa10l1"
"A_44_P134970"	"Ndufa10l1"
"A_44_P134993"	"Agxt"
"A_44_P135006"	"Trim9"
"A_44_P135020"	"LOC259244"
"A_44_P135058"	"Olr480"
"A_44_P135066"	"Galnt13"
"A_44_P135082"	"P2rx1"
"A_44_P135091"	"Art2"
"A_44_P135094"	"Art2"
"A_44_P135096"	"Olr352"
"A_44_P135106"	"Olr1517"
"A_44_P135120"	"Olr858"
"A_44_P135134"	"Hook3"
"A_44_P135142"	"LOC498460"
"A_44_P135148"	"Mfn2"
"A_44_P135163"	"Ncam2"
"A_44_P135168"	"Ywhae"
"A_44_P135170"	"Ywhae"
"A_44_P135183"	"Sell"
"A_44_P135198"	"Tbkbp1"
"A_44_P135213"	"Ptprc"
"A_44_P135224"	"Plk3"
"A_44_P135238"	"Wnt7a"
"A_44_P135241"	"Nothing"
"A_44_P135260"	"Hapln3"
"A_44_P135277"	"Alcam"
"A_44_P135290"	"Rest"
"A_44_P135304"	"Cdk105"
"A_44_P135339"	"Hsp90aa1"
"A_44_P135356"	"RGD1565844"
"A_44_P135373"	"Nothing"
"A_44_P135383"	"Nothing"
"A_44_P135401"	"LOC292543"
"A_44_P135402"	"Nothing"
"A_44_P135413"	"Nothing"
"A_44_P135424"	"RGD1304622"
"A_44_P135434"	"Nothing"
"A_44_P135450"	"Nothing"
"A_44_P135455"	"Nsmce1"
"A_44_P135464"	"Dcun1d4"
"A_44_P135482"	"Nothing"
"A_44_P135486"	"Trpm3"
"A_44_P135505"	"Nothing"
"A_44_P135525"	"Nothing"
"A_44_P135531"	"RGD1304929"
"A_44_P135543"	"Nothing"
"A_44_P135549"	"Ap1m1"
"A_44_P135554"	"Nothing"
"A_44_P135559"	"S100a7a"
"A_44_P135575"	"Csmd1"
"A_44_P135576"	"Nothing"
"A_44_P135592"	"Mcoln3"
"A_44_P135610"	"Larp5"
"A_44_P135624"	"Nothing"
"A_44_P135641"	"Rapsn"
"A_44_P135650"	"Smtnl1"
"A_44_P135657"	"Nothing"
"A_44_P135666"	"Ap4e1"
"A_44_P135678"	"Phf20"
"A_44_P135688"	"Zfp93"
"A_44_P135696"	"Nothing"
"A_44_P135716"	"Fam26d"
"A_44_P135728"	"Nothing"
"A_44_P135730"	"Nothing"
"A_44_P135740"	"Iqsec2"
"A_44_P135744"	"RGD1563554"
"A_44_P135757"	"Nothing"
"A_44_P135765"	"Nothing"
"A_44_P135786"	"LOC363337"
"A_44_P135829"	"Srrm1"
"A_44_P135832"	"LOC687001"
"A_44_P135843"	"Rps10"
"A_44_P135845"	"Tecpr2"
"A_44_P135857"	"Nothing"
"A_44_P135864"	"Ubtfl1"
"A_44_P135883"	"Rbm7"
"A_44_P135891"	"Nothing"
"A_44_P135896"	"Mars"
"A_44_P135911"	"Nothing"
"A_44_P135944"	"LOC100362008"
"A_44_P135958"	"Nothing"
"A_44_P135964"	"LOC691496"
"A_44_P135987"	"Nothing"
"A_44_P135990"	"Efcab3"
"A_44_P136010"	"Sema5b"
"A_44_P136018"	"Nothing"
"A_44_P136020"	"Nothing"
"A_44_P136027"	"Nothing"
"A_44_P136032"	"Nothing"
"A_44_P136055"	"Nothing"
"A_44_P136059"	"Nothing"
"A_44_P136141"	"Nothing"
"A_44_P136161"	"Nothing"
"A_44_P136187"	"Nothing"
"A_44_P136206"	"Il12b"
"A_44_P136232"	"RGD1563084"
"A_44_P136238"	"Nothing"
"A_44_P136285"	"Jam3"
"A_44_P136326"	"Nothing"
"A_44_P136342"	"Ugp2"
"A_44_P136367"	"Nothing"
"A_44_P136388"	"Nothing"
"A_44_P136429"	"Nothing"
