"probes"	"genes"
"A_42_P484456"	"Bola3"
"A_42_P484663"	"Calcoco1"
"A_42_P484738"	"Ctgf"
"A_42_P485015"	"Nothing"
"A_42_P485243"	"Plekha8"
"A_42_P485589"	"Map2k5"
"A_42_P485961"	"Chgb"
"A_42_P486131"	"RGD1308775"
"A_42_P486144"	"Gata4"
"A_42_P486203"	"Agtr1a"
"A_42_P486517"	"Cox7a2l"
"A_42_P486763"	"Ptma"
"A_42_P486847"	"Tmco3"
"A_42_P486964"	"Rph3al"
"A_42_P487031"	"B4galt3"
"A_42_P487432"	"Nup214"
"A_42_P487567"	"Dsp"
"A_42_P487686"	"Agr2"
"A_42_P487852"	"Plec"
"A_42_P488000"	"Vstm2b"
"A_42_P488012"	"Nothing"
"A_42_P488076"	"Nothing"
"A_42_P488554"	"Ctsj"
"A_42_P488840"	"Tiprl"
"A_42_P489167"	"Nothing"
"A_42_P489223"	"Thada"
"A_42_P489232"	"Nothing"
"A_42_P489478"	"Cox7b"
"A_42_P489613"	"RGD1562657"
"A_42_P489681"	"Nothing"
"A_42_P489761"	"Acaca"
"A_42_P489764"	"Gjb2"
"A_42_P489817"	"Ppm1l"
"A_42_P490296"	"Itgb4"
"A_42_P490305"	"Nothing"
"A_42_P490576"	"Nothing"
"A_42_P490612"	"Zc3h7a"
"A_42_P490703"	"Slc25a11"
"A_42_P490804"	"Nop58"
"A_42_P491119"	"Lgals4"
"A_42_P491278"	"Alkbh7"
"A_42_P491318"	"Nothing"
"A_42_P491366"	"Tmem19"
"A_42_P491376"	"Srgap2"
"A_42_P491486"	"Pllp"
"A_42_P491707"	"Nothing"
"A_42_P492062"	"Nothing"
"A_42_P492082"	"Pex16"
"A_42_P492130"	"Tbcd"
"A_42_P492135"	"Pcbp4"
"A_42_P492195"	"Fibp"
"A_42_P492542"	"Jak3"
"A_42_P492688"	"Zfp608"
"A_42_P492882"	"Nckipsd"
"A_42_P492976"	"Triap1"
"A_42_P493301"	"Pou3f1"
"A_42_P493380"	"Myc"
"A_42_P493567"	"Ctbs"
"A_42_P493785"	"Cdk2ap1"
"A_42_P494276"	"Armc9"
"A_42_P494612"	"Mrps21"
"A_42_P494979"	"Nothing"
"A_42_P495128"	"Nrcam"
"A_42_P495397"	"Rpl21"
"A_42_P495428"	"Mlec"
"A_42_P495498"	"LOC100364718"
"A_42_P495691"	"Bcl7c"
"A_42_P495741"	"Lrrc27"
"A_42_P495895"	"Dbn1"
"A_42_P495923"	"Tmem205"
"A_42_P495969"	"Apoc1"
"A_42_P496291"	"Nothing"
"A_42_P496411"	"Trappc6a"
"A_42_P496649"	"RGD1306839"
"A_42_P496714"	"Foxs1"
"A_42_P496725"	"Ssb"
"A_42_P496739"	"Stap2"
"A_42_P496786"	"Trap1"
"A_42_P497153"	"Zc3h8"
"A_42_P497225"	"Mfge8"
"A_42_P497323"	"Ppp1r10"
"A_42_P497393"	"Nothing"
"A_42_P497429"	"Myadm"
"A_42_P498066"	"Tmsb4x"
"A_42_P498149"	"Lepre1"
"A_42_P498463"	"Pla2g10"
"A_42_P498506"	"Nothing"
"A_42_P498708"	"Epha5"
"A_42_P498868"	"Fsd1"
"A_42_P499146"	"Osbpl6"
"A_42_P499158"	"Vcam1"
"A_42_P499282"	"Msrb2"
"A_42_P499472"	"Cfdp1"
"A_42_P499546"	"Hrasls5"
"A_42_P499767"	"Padi2"
"A_42_P499859"	"Pard6a"
"A_42_P499899"	"Prg2"
"A_42_P500080"	"Nkg7"
"A_42_P500675"	"Hcrt"
"A_42_P500802"	"Nxt1"
"A_42_P500847"	"Dhrs7c"
"A_42_P501057"	"Gls2"
"A_42_P501233"	"Adra1d"
"A_42_P501479"	"Nothing"
"A_42_P501877"	"Gls"
"A_42_P501972"	"Ppp2r1b"
"A_42_P502271"	"Fam81a"
"A_42_P502363"	"Zfp575"
"A_42_P502582"	"Cela3b"
"A_42_P502621"	"Avil"
"A_42_P502671"	"Znrf2"
"A_42_P502759"	"Aplp2"
"A_42_P502768"	"RGD1311021"
"A_42_P502839"	"Ctnnbip1"
"A_42_P503281"	"Clic5"
"A_42_P503419"	"Gprc5c"
"A_42_P503597"	"Mrpl30"
"A_42_P503768"	"Gemin6"
"A_42_P504077"	"Pdxp"
"A_42_P504240"	"Fam120a"
"A_42_P504250"	"Eapp"
"A_42_P504358"	"RGD1305347"
"A_42_P504507"	"Nothing"
"A_42_P504523"	"Wrnip1"
"A_42_P504653"	"F10"
"A_42_P504852"	"Nothing"
"A_42_P504926"	"Nothing"
"A_42_P505188"	"Wibg"
"A_42_P505241"	"Qprt"
"A_42_P505280"	"Sae1"
"A_42_P505393"	"Serpinb6a"
"A_42_P505972"	"Ube2s"
"A_42_P506027"	"Lcn5"
"A_42_P506267"	"Zmpste24"
"A_42_P506273"	"Csad"
"A_42_P506345"	"Bag6"
"A_42_P506402"	"Slc25a25"
"A_42_P506453"	"Nothing"
"A_42_P506685"	"Fxyd2"
"A_42_P506826"	"Whsc2"
"A_42_P506830"	"Mrpl53"
"A_42_P506956"	"Pcsk4"
"A_42_P507027"	"Tmem150a"
"A_42_P507566"	"Tnfaip2"
"A_42_P507857"	"Psmd9"
"A_42_P507877"	"Arhgap23"
"A_42_P508085"	"Tmem204"
"A_42_P508185"	"Gimap5"
"A_42_P508358"	"Nup214"
"A_42_P508442"	"Scn1a"
"A_42_P508471"	"Rgn"
"A_42_P508722"	"LOC100360066"
"A_42_P508921"	"Aqp3"
"A_42_P508984"	"Pf4"
"A_42_P509314"	"Tubb3"
"A_42_P509365"	"Vim"
"A_42_P509385"	"Prkx"
"A_42_P509457"	"Arl6ip4"
"A_42_P509766"	"Ppara"
"A_42_P509843"	"Tradd"
"A_42_P509876"	"RGD1563482"
"A_42_P509923"	"Defa24"
"A_42_P509950"	"Nothing"
"A_42_P509967"	"Slc7a9"
"A_42_P510135"	"Chst10"
"A_42_P510241"	"Brms1"
"A_42_P510386"	"Serping1"
"A_42_P510432"	"RGD1311605"
"A_42_P510494"	"Ntpcr"
"A_42_P510530"	"Pdcd2l"
"A_42_P510565"	"Cdhr4"
"A_42_P511015"	"Nup133"
"A_42_P511118"	"Slc17a6"
"A_42_P511187"	"Hgfac"
"A_42_P511265"	"RT1-CE7"
"A_42_P511274"	"RT1-CE5"
"A_42_P511375"	"Abhd14a"
"A_42_P511401"	"Crip1"
"A_42_P511410"	"Gripap1"
"A_42_P511615"	"Ppcs"
"A_42_P512232"	"Nothing"
"A_42_P512252"	"Fgfr1op2"
"A_42_P512387"	"Lim2"
"A_42_P512417"	"Dpm2"
"A_42_P512460"	"Aimp2"
"A_42_P512838"	"Trem2"
"A_42_P512860"	"Tinag"
"A_42_P513025"	"Scaper"
"A_42_P513294"	"Ndn"
"A_42_P513580"	"Nothing"
"A_42_P513859"	"Nothing"
"A_42_P513911"	"Zrsr2"
"A_42_P513939"	"RGD1565685"
"A_42_P514244"	"Dyrk1a"
"A_42_P514254"	"Nothing"
"A_42_P514419"	"Clp1"
"A_42_P514501"	"Grm3"
"A_42_P514575"	"Kif1c"
"A_42_P514585"	"Tpt1"
"A_42_P514733"	"Mfap1a"
"A_42_P514798"	"Zcchc11"
"A_42_P515028"	"Nothing"
"A_42_P515206"	"Il17d"
"A_42_P515346"	"Map1a"
"A_42_P515405"	"Ier3"
"A_42_P515454"	"Csnk1e"
"A_42_P515580"	"Tmem27"
"A_42_P515931"	"Nothing"
"A_42_P516379"	"Nothing"
"A_42_P516535"	"Noxa1"
"A_42_P516561"	"Atn1"
"A_42_P516640"	"Rabep1"
"A_42_P516941"	"Ube4b"
"A_42_P517236"	"Arl13b"
"A_42_P517399"	"Emp3"
"A_42_P517515"	"Fam96a"
"A_42_P517554"	"Polg2"
"A_42_P517712"	"Wdr25l"
"A_42_P517743"	"Glmn"
"A_42_P518016"	"Tmem57"
"A_42_P518033"	"Hsd17b1"
"A_42_P518316"	"Sel1l3"
"A_42_P518462"	"Hmgn3"
"A_42_P518620"	"Jarid1a"
"A_42_P518818"	"Dbt"
"A_42_P518855"	"Bcl2a1d"
"A_42_P518958"	"Synj2bp"
"A_42_P519018"	"Mtmr9"
"A_42_P519024"	"Mtmr9"
"A_42_P519311"	"Cklf"
"A_42_P519770"	"Rpl29"
"A_42_P519868"	"Gsr"
"A_42_P519910"	"Eif3f"
"A_42_P520349"	"Clec10a"
"A_42_P520472"	"Nothing"
"A_42_P520497"	"Slc2a5"
"A_42_P521006"	"Nothing"
"A_42_P521210"	"Thbs2"
"A_42_P521242"	"Fam183b"
"A_42_P521609"	"Morc3"
"A_42_P521707"	"RT1-N3"
"A_42_P521814"	"Nothing"
"A_42_P521902"	"Gtf3c5"
"A_42_P521940"	"Nothing"
"A_42_P522171"	"LOC100361389"
"A_42_P522194"	"Atp2a3"
"A_42_P522374"	"Rab33a"
"A_42_P522562"	"Nothing"
"A_42_P522638"	"Pqlc3"
"A_42_P522857"	"Mgst3"
"A_42_P522899"	"Tgfb1"
"A_42_P523472"	"Nothing"
"A_42_P523688"	"RGD1304580"
"A_42_P524009"	"Nothing"
"A_42_P524098"	"LOC100360664"
"A_42_P524302"	"Jtb"
"A_42_P524312"	"Fastkd1"
"A_42_P524370"	"Tcf4"
"A_42_P524525"	"Otp"
"A_42_P524577"	"Rtn1"
"A_42_P524610"	"Pphln1"
"A_42_P524707"	"Prim2"
"A_42_P524904"	"Nothing"
"A_42_P525098"	"Lsg1"
"A_42_P525170"	"Abcd2"
"A_42_P525317"	"Cacnb2"
"A_42_P525454"	"Nothing"
"A_42_P525876"	"Erg"
"A_42_P525886"	"Crabp1"
"A_42_P525962"	"Ptrhd1"
"A_42_P526030"	"Decr1"
"A_42_P526293"	"Sssca1"
"A_42_P526712"	"Eif4e3"
"A_42_P527070"	"Gchfr"
"A_42_P527101"	"Scly"
"A_42_P527141"	"Foxm1"
"A_42_P527724"	"Fcnb"
"A_42_P527738"	"Nlrx1"
"A_42_P527788"	"Susd2"
"A_42_P527852"	"Xrcc6"
"A_42_P527887"	"Atg4b"
"A_42_P527961"	"Pmch"
"A_42_P528007"	"Srp54a"
"A_42_P528083"	"Trmt5"
"A_42_P528248"	"Wdfy3"
"A_42_P528580"	"Hddc3"
"A_42_P528779"	"Kif12"
"A_42_P528844"	"Acsl5"
"A_42_P529077"	"Gab2"
"A_42_P529193"	"Sdhc"
"A_42_P529319"	"Scn2a1"
"A_42_P529445"	"Prorsd1"
"A_42_P529550"	"Gng8"
"A_42_P529681"	"Nothing"
"A_42_P529711"	"Nothing"
"A_42_P529780"	"Spdya"
"A_42_P529842"	"Trim17"
"A_42_P529875"	"Nothing"
"A_42_P530171"	"Lsm4"
"A_42_P531078"	"Gsta4"
"A_42_P531684"	"Cenpq"
"A_42_P532072"	"Wfikkn1"
"A_42_P532103"	"Anxa2"
"A_42_P532117"	"Retn"
"A_42_P532444"	"Rgs12"
"A_42_P532458"	"Papss1"
"A_42_P532505"	"Ccl11"
"A_42_P533183"	"Slc1a3"
"A_42_P533219"	"Slc30a6"
"A_42_P533312"	"Pc"
"A_42_P533792"	"Srpk2"
"A_42_P533918"	"Fzd3"
"A_42_P534068"	"Adam15"
"A_42_P534172"	"Cd52"
"A_42_P534782"	"Sirt3"
"A_42_P534882"	"Vsnl1"
"A_42_P535555"	"Papd5"
"A_42_P535743"	"Galnt11"
"A_42_P535835"	"Radil"
"A_42_P536266"	"Nothing"
"A_42_P536292"	"Ngb"
"A_42_P536326"	"Bicd2"
"A_42_P536393"	"Mrps36"
"A_42_P536403"	"Dnajc6"
"A_42_P536564"	"Etf1"
"A_42_P536702"	"Sftpc"
"A_42_P537051"	"Fam70b"
"A_42_P537091"	"Eddm3b"
"A_42_P537443"	"Jund"
"A_42_P537501"	"Dpp4"
"A_42_P537715"	"Wdr61"
"A_42_P537881"	"Itpa"
"A_42_P537971"	"Pard6b"
"A_42_P538084"	"Crim1"
"A_42_P538135"	"Lhb"
"A_42_P538232"	"Nothing"
"A_42_P538334"	"Snhg8"
"A_42_P538337"	"Gpr107"
"A_42_P538374"	"Fam122a"
"A_42_P538400"	"Ntrk2"
"A_42_P538483"	"Rnf40"
"A_42_P538617"	"Ift172"
"A_42_P538670"	"Cybb"
"A_42_P538868"	"Dvl1"
"A_42_P539352"	"Adrm1"
"A_42_P539738"	"Nothing"
"A_42_P540177"	"Dnajc17"
"A_42_P540235"	"Rpe65"
"A_42_P540438"	"Acyp1"
"A_42_P540518"	"Gpr108"
"A_42_P540609"	"LOC680711"
"A_42_P540711"	"Rasd2"
"A_42_P540774"	"Acadm"
"A_42_P540908"	"Asna1"
"A_42_P540933"	"Csk"
"A_42_P540950"	"Ier2"
"A_42_P541025"	"Hspa1l"
"A_42_P541032"	"Ftl"
"A_42_P541034"	"Ftl"
"A_42_P541625"	"Shfm1"
"A_42_P541660"	"Nfatc4"
"A_42_P541784"	"RGD1566099"
"A_42_P541851"	"Nothing"
"A_42_P541857"	"Cab39"
"A_42_P541872"	"B3galnt1"
"A_42_P541962"	"C1qtnf4"
"A_42_P542583"	"Hn1"
"A_42_P542672"	"Nothing"
"A_42_P542744"	"Dchs1"
"A_42_P542909"	"Stau2"
"A_42_P542960"	"Rerg"
"A_42_P543004"	"Socs2"
"A_42_P543226"	"RGD1563365"
"A_42_P543374"	"Dffa"
"A_42_P543633"	"Nothing"
"A_42_P543670"	"Grik4"
"A_42_P543694"	"Arhgap39"
"A_42_P543762"	"Fam161a"
"A_42_P543774"	"Trib3"
"A_42_P543877"	"Tlcd1"
"A_42_P543895"	"Pou3f4"
"A_42_P544041"	"Nothing"
"A_42_P544108"	"Rplp0"
"A_42_P544135"	"Nothing"
"A_42_P544167"	"Tep1"
"A_42_P544321"	"Nothing"
"A_42_P544328"	"Cd99l2"
"A_42_P544402"	"Sec16b"
"A_42_P544436"	"Slc35a1"
"A_42_P544648"	"Rps16"
"A_42_P544887"	"Stx6"
"A_42_P544898"	"Bcl6b"
"A_42_P544965"	"Rpl22"
"A_42_P545100"	"Aspdh"
"A_42_P545405"	"Nothing"
"A_42_P545466"	"Chchd3"
"A_42_P545536"	"Nothing"
"A_42_P545721"	"Nothing"
"A_42_P545928"	"Klhl12"
"A_42_P545943"	"Ca2"
"A_42_P546008"	"Sftpd"
"A_42_P546266"	"Ercc1"
"A_42_P546708"	"Khdrbs3"
"A_42_P546775"	"Ttc27"
"A_42_P546857"	"RGD1565675"
"A_42_P546968"	"Pdgfrb"
"A_42_P547027"	"Fuca2"
"A_42_P547157"	"Nothing"
"A_42_P547246"	"Myoc"
"A_42_P547305"	"Nothing"
"A_42_P547616"	"Ndrg2"
"A_42_P547847"	"Fbp2"
"A_42_P547856"	"Prkcb"
"A_42_P547945"	"Mtch1"
"A_42_P548067"	"Blvrb"
"A_42_P548118"	"Aco1"
"A_42_P548213"	"Ceacam11"
"A_42_P548410"	"Acot1"
"A_42_P548492"	"C1galt1c1"
"A_42_P548520"	"Ppa1"
"A_42_P548791"	"Tsn"
"A_42_P548796"	"Tsn"
"A_42_P548800"	"mrpl9"
"A_42_P548840"	"Slc9a1"
"A_42_P548889"	"Sertad3"
"A_42_P549271"	"Mrpl43"
"A_42_P549321"	"Nothing"
"A_42_P549380"	"Ilkap"
"A_42_P549451"	"Fabp6"
"A_42_P549786"	"B3gat2"
"A_42_P549916"	"Ston2"
"A_42_P549942"	"Fbn2"
"A_42_P550172"	"Hip1r"
"A_42_P550241"	"Fat2"
"A_42_P550344"	"Tle3"
"A_42_P550360"	"Klk1c8"
"A_42_P550396"	"Galnt10"
"A_42_P550702"	"Znhit2"
"A_42_P550914"	"Ltb"
"A_42_P551239"	"Brd9"
"A_42_P551406"	"Nothing"
"A_42_P552004"	"Tnfrsf4"
"A_42_P552143"	"Cfl1"
"A_42_P552187"	"Mtdh"
"A_42_P552233"	"Cct6a"
"A_42_P552341"	"Sorl1"
"A_42_P552439"	"Cldn14"
"A_42_P552640"	"Mmp16"
"A_42_P552681"	"Cmah"
"A_42_P552807"	"Hcfc1"
"A_42_P552949"	"Rpl10"
"A_42_P553201"	"Acp5"
"A_42_P553342"	"Scrib"
"A_42_P553444"	"Pcsk5"
"A_42_P553706"	"Ccdc8"
"A_42_P553885"	"Synpo"
"A_42_P553918"	"Prx"
"A_42_P554044"	"LOC687192"
"A_42_P554066"	"Tasp1"
"A_42_P554295"	"Nothing"
"A_42_P554336"	"Secp43"
"A_42_P554373"	"Tmprss2"
"A_42_P554722"	"Pigp"
"A_42_P554928"	"Nothing"
"A_42_P555125"	"Atp1b3"
"A_42_P555131"	"RGD1306626"
"A_42_P555365"	"Slc17a3"
"A_42_P555426"	"Fgfbp3"
"A_42_P555725"	"Epb4.1l2"
"A_42_P555884"	"Usp12"
"A_42_P556083"	"Cckbr"
"A_42_P556316"	"Mtus1"
"A_42_P556457"	"Gmcl1"
"A_42_P556656"	"Pias4"
"A_42_P556666"	"Itpk1"
"A_42_P556829"	"Wif1"
"A_42_P556888"	"Chrd"
"A_42_P557272"	"Svs3a"
"A_42_P557293"	"Rfesd"
"A_42_P557315"	"Tmem126b"
"A_42_P557394"	"Isg20"
"A_42_P557485"	"Gnai2"
"A_42_P558144"	"Prodh2"
"A_42_P558206"	"Nothing"
"A_42_P558349"	"Nothing"
"A_42_P558378"	"Unc5a"
"A_42_P558503"	"Brd2"
"A_42_P558887"	"F9"
"A_42_P559038"	"Plekhg2"
"A_42_P559085"	"Sos2"
"A_42_P559337"	"Nothing"
"A_42_P559343"	"Pppde1"
"A_42_P559414"	"Wnt4"
"A_42_P559462"	"Tbx18"
"A_42_P559737"	"Srgn"
"A_42_P559874"	"Nothing"
"A_42_P560053"	"Pfkl"
"A_42_P560288"	"Sdhd"
"A_42_P560525"	"Mrpl20"
"A_42_P560852"	"Nothing"
"A_42_P560984"	"RGD1565641"
"A_42_P560996"	"Itga9"
"A_42_P561149"	"Nothing"
"A_42_P561580"	"Rps27a"
"A_42_P561597"	"Dnajc10"
"A_42_P561628"	"Pkia"
"A_42_P561644"	"Timm10"
"A_42_P561754"	"Pex11a"
"A_42_P561835"	"Nothing"
"A_42_P561930"	"Nothing"
"A_42_P561946"	"Pex12"
"A_42_P562435"	"Gtl3"
"A_42_P562617"	"Irf5"
"A_42_P562625"	"Xpnpep1"
"A_42_P562635"	"Tmem115"
"A_42_P562711"	"Ndufb9"
"A_42_P563156"	"Nothing"
"A_42_P563376"	"Pcyox1"
