SPECIES	QUERY	SYMBOL
human	EFTUD1	EFL1
human	EFTUD1	ELF1
mouse	EFTUD1	Efl1
rat	EFTUD1	Efl1
human	ZNF331	ZNF331
human	C6ORF153	RRP36
human	LOC606724	LOC606724
human	FAM119B	EEF1AKMT3
mouse	FAM119B	Eef1akmt3
human	C1ORF216	C1orf216
human	C20ORF4	AAR2
human	C6ORF48	C6orf48
human	ARPC1A	ARPC1A
mouse	ARPC1A	Arpc1a
rat	ARPC1A	Arpc1a
human	FAM58A	CCNQ
mouse	FAM58A	Ccnq
rat	FAM58A	Ccnq
human	C17ORF58	C17orf58
human	C10ORF59	RNLS
mouse	C10ORF59	Rnls
human	C18ORF8	RMC1
rat	C18ORF8	Rmc1
human	GPR109B	HCAR3
mouse	GPR109B	Hcar2
rat	GPR109B	Niacr1
human	GPR109A	HCAR2
mouse	GPR109A	Hcar2
rat	GPR109A	Niacr1
human	TCEAL4	TCEAL4
human	C3ORF75	ELP6
human	C16ORF62	VPS35L
human	ZFYVE16	ZFYVE16
mouse	ZFYVE16	Zfyve16
rat	ZFYVE16	Zfyve16
human	C13ORF31	LACC1
human	UCHL5IP	HAUS7
mouse	UCHL5IP	Haus7
rat	UCHL5IP	Haus7
human	CCDC23	SVBP
mouse	CCDC23	Svbp
rat	CCDC23	Svbp
human	CD300A	CD300A
mouse	CD300A	Cd300a
rat	CD300A	Cd300a
human	DDEF2	ASAP2
mouse	DDEF2	Asap2
rat	DDEF2	Asap2
human	C20ORF52	ROMO1
human	TMEM180	MFSD13A
mouse	TMEM180	Mfsd13a
rat	TMEM180	Mfsd13a
human	WDR40A	DCAF12
mouse	WDR40A	Dcaf12
human	C10ORF119	MCMBP
human	GIMAP2	GIMAP2
human	SEPX1	MSRB1
mouse	SEPX1	Msrb1
rat	SEPX1	Msrb1
human	OR3A4	OR3A4P
human	HIST2H2BE	HIST2H2BE
mouse	HIST2H2BE	Hist2h2be
rat	HIST2H2BE	Hist2h2be
human	RFWD2	COP1
mouse	RFWD2	Cop1
rat	RFWD2	Cop1
human	ITPRIP	ITPRIP
mouse	ITPRIP	Itprip
human	C2ORF24	CNPPD1
human	C5ORF22	C5orf22
human	BTBD12	SLX4
mouse	BTBD12	Slx4
rat	BTBD12	Slx4
human	ANKRD20A1	ANKRD20A1
human	HHEX	HHEX
mouse	HHEX	Hhex
rat	HHEX	Hhex
human	FAM158A	EMC9
mouse	FAM158A	Emc9
rat	FAM158A	Emc9
human	C9ORF89	CARD19
human	CXCL5	CXCL5
mouse	CXCL5	Cxcl5
rat	CXCL5	Cxcl6
human	MYADM	MYADM
mouse	MYADM	Myadm
rat	MYADM	Myadm
human	C1ORF123	C1orf123
human	FTHL7	FTH1P7
human	KIAA0247	SUSD6
human	CCL13	CCL13
human	ZNF439	ZNF439
human	C15ORF57	CCDC32
human	RPS23	RPS23
mouse	RPS23	Rps23
rat	RPS23	Rps23
human	CLLU1OS	CLLU1OS
human	HMGB1L1	CTCFL
human	HMGB1L1	HMGB1P1
human	ZNF17	ZNF17
human	C2ORF25	MMADHC
human	C20ORF11	GID8
human	DC36	CBWD5
human	PTPLB	HACD2
mouse	PTPLB	Hacd2
rat	PTPLB	Hacd2
human	ANKRD57	SOWAHC
mouse	ANKRD57	Sowahc
rat	ANKRD57	Sowahc
human	ARL4A	ARL4A
mouse	ARL4A	Arl4a
rat	ARL4A	Arl4a
human	C20ORF27	C20orf27
human	C12ORF52	RITA1
human	C12ORF62	COX14
rat	C12ORF62	Cox14
human	HNRPUL2	HNRNPUL2
mouse	HNRPUL2	Hnrnpul2
rat	HNRPUL2	Hnrnpul2
human	SBDSP	SBDSP1
mouse	AFG3L1	Afg3l1
rat	AFG3L1	Afg3l1
human	AFG3L1	AFG3L1P
human	ZNF200	ZNF200
human	C9ORF61	FAM189A2
human	ECOP	VOPP1
mouse	ECOP	Vopp1
rat	ECOP	Vopp1
human	WHSC1L1	NSD3
mouse	WHSC1L1	Nsd3
rat	WHSC1L1	Nsd3
mouse	ATPIF1	Atpif1
human	ATPIF1	ATP5IF1
rat	ATPIF1	Atp5if1
human	CUGBP2	CELF2
mouse	CUGBP2	Celf2
rat	CUGBP2	Celf2
human	C14ORF2	ATP5MPL
human	C19ORF61	SMG9
human	ZNF254	ZNF254
human	PITPNC1	PITPNC1
mouse	PITPNC1	Pitpnc1
rat	PITPNC1	Pitpnc1
human	C10ORF46	CACUL1
human	C3ORF10	BRK1
human	GSTT1	GSTT1
mouse	GSTT1	Gstt1
rat	GSTT1	Gstt1
human	C14ORF139	SYNE3
human	HRASLS3	PLA2G16
mouse	HRASLS3	Pla2g16
rat	HRASLS3	Pla2g16
human	RNF160	LTN1
mouse	RNF160	Ltn1
rat	RNF160	Ltn1
mouse	ERO1LB	Ero1lb
human	ERO1LB	ERO1B
rat	ERO1LB	Ero1b
human	DHFRL1	DHFR2
human	C20ORF107	FAM209B
human	C10ORF128	TMEM273
human	C2ORF79	PTRHD1
human	C3ORF1	TIMMDC1
human	LOC93622	LOC93622
human	FBS1	FBRS
human	FBS1	FBXO2
mouse	FBS1	Fbxo2
mouse	FBS1	Fbrs
mouse	SPG20	Spg20
human	SPG20	SPART
rat	SPG20	Spart
human	C19ORF22	R3HDM4
human	FTHL11	FTH1P11
human	FCGBP	FCGBP
mouse	FCGBP	Fcgbp
rat	FCGBP	Fcgbp
mouse	FCGBP	9530053A07Rik
human	APOBEC3F	APOBEC3F
rat	APOBEC3F	Apobec3
human	ZNF509	ZBTB49
mouse	ZNF509	Zbtb49
rat	ZNF509	Zbtb49
human	CT45A4	CT45A5
human	CT45A4	CT45A3
human	C20ORF72	MGME1
human	SRA1	SRA1
mouse	SRA1	Sra1
rat	SRA1	Sra1
human	SRA1	CYFIP1
human	SRA1	SCAF1
human	SRA1	CHERP
human	SRA1	SOX9
mouse	SRA1	Cyfip1
human	COX15	COX15
mouse	COX15	Cox15
rat	COX15	Cox15
human	SNORA25	SNORA25
human	SNORA25	SNORA25
human	ZNF256	ZNF256
human	FAM48A	SUPT20H
mouse	FAM48A	Supt20
rat	FAM48A	Supt20h
human	FTHL12	FTH1P12
human	ZNF544	ZNF544
human	C6ORF57	SDHAF4
mouse	C6ORF57	Sdhaf4
human	ZNF124	ZNF124
rat	ZNF124	Zfp763
human	HIAT1	MFSD14A
mouse	HIAT1	Mfsd14a
rat	HIAT1	Mfsd14a
rat	HIAT1	Hiatl3
human	ZNF642	ZFP69
human	GPR84	GPR84
mouse	GPR84	Gpr84
rat	GPR84	Gpr84
human	TM7SF2	TM7SF2
mouse	TM7SF2	Tm7sf2
rat	TM7SF2	Tm7sf2
human	ZNF285A	ZNF285
human	DFNA5	GSDME
mouse	DFNA5	Gsdme
rat	DFNA5	Gsdme
human	C4ORF33	C4orf33
human	MEP1A	MEP1A
mouse	MEP1A	Mep1a
rat	MEP1A	Mep1a
human	FTHL2	FTH1P2
human	FTHL8	FTH1P8
human	FTHL3	FTH1P3
human	DOM3Z	DXO
mouse	DOM3Z	Dxo
rat	DOM3Z	Dxo
human	C9ORF30	MSANTD3
human	TCEB2	ELOB
mouse	TCEB2	Elob
rat	TCEB2	Elob
human	C15ORF21	HMGN2P46
human	NELF	NSMF
mouse	NELF	Nsmf
rat	NELF	Nsmf
human	C5ORF51	C5orf51
human	PAAF1	PAAF1
human	SP140L	SP140L
human	C6ORF150	CGAS
human	CES8	CES4A
mouse	CES8	Ces4a
rat	CES8	Ces4a
mouse	NUPL1	Nupl1
mouse	NUPL1	Nupl1
human	NUPL1	NUP58
rat	NUPL1	Nup58
human	MS4A6A	MS4A6A
rat	MS4A6A	Ms4a6a
rat	MS4A6A	Ms4a6b
human	BHLHB3	BHLHE41
mouse	BHLHB3	Bhlhe41
rat	BHLHB3	Bhlhe41
human	RAG1AP1	SLC50A1
mouse	RAG1AP1	Slc50a1
rat	RAG1AP1	Slc50a1
human	C14ORF121	CARMIL3
human	C6ORF130	OARD1
human	C17ORF61	TMEM256
mouse	SRPR	Srpr
human	SRPR	SRPRA
rat	SRPR	Srpra
human	HLA-DPA1	HLA-DPA1
human	ZNF443	ZNF443
human	KIAA0494	EFCAB14
human	PRKCABP	PICK1
mouse	PRKCABP	Pick1
rat	PRKCABP	Pick1
human	COPG	COPG1
mouse	COPG	Copg1
rat	COPG	Copg1
human	C12ORF32	RHNO1
human	COL24A1	COL24A1
mouse	COL24A1	Col24a1
rat	COL24A1	Col24a1
rat	COL24A1	Col24a1
human	DOPEY1	DOP1A
mouse	DOPEY1	Dop1a
rat	DOPEY1	Dop1a
human	LOC728519	LOC728519
human	FAM188A	MINDY3
mouse	FAM188A	Mindy3
rat	FAM188A	Mindy3
human	HLA-DRA	HLA-DRA
human	CSNK2A1P	CSNK2A3
human	CCL1	CCL1
mouse	CCL1	Ccl1
rat	CCL1	Ccl1
human	HLA-DPB1	HLA-DPB1
human	HLA-DPB1	HLA-DRB3
human	NAT12	NAA30
mouse	NAT12	Naa30
rat	NAT12	Naa30
human	CCDC55	NSRP1
mouse	CCDC55	Nsrp1
rat	CCDC55	Nsrp1
human	PIP5K2A	PIP4K2A
mouse	PIP5K2A	Pip4k2a
rat	PIP5K2A	Pip4k2a
human	C17ORF71	SMG8
human	IL8RB	CXCR2
mouse	IL8RB	Cxcr2
rat	IL8RB	Cxcr2
human	FAM70B	TMEM255B
mouse	FAM70B	Tmem255b
rat	FAM70B	Tmem255b
human	C10ORF47	PROSER2
human	HLA-DRB3	HLA-DRB3
human	C5ORF39	ANXA2R
human	SQRDL	SQOR
mouse	SQRDL	Sqor
rat	SQRDL	Sqor
human	HSZFP36	ZNF823
mouse	HSZFP36	Zfp81
human	CNIH	CNIH1
mouse	CNIH	Cnih1
rat	CNIH	Cnih1
human	C12ORF76	C12orf76
human	CABC1	COQ8A
mouse	CABC1	Coq8a
rat	CABC1	Coq8a
human	C16ORF80	CFAP20
human	C20ORF45	PRELID3B
human	C20ORF45	GNAS
human	DUSP3	DUSP3
mouse	DUSP3	Dusp3
rat	DUSP3	Dusp3
rat	DUSP3	Mpp3
human	KIAA0141	DELE1
mouse	KIAA0141	Dele1
human	ZNF671	ZNF671
human	MOSC1	MARC1
mouse	MOSC1	Marc1
rat	MOSC1	Marc1
human	C1ORF77	CHTOP
human	CES4	CES1P1
human	C22ORF25	TANGO2
human	PGA5	PGA5
mouse	PGA5	Pga5
rat	PGA5	Pga5
human	C6ORF192	SLC18B1
human	TNFRSF10A	TNFRSF10A
human	TMEM77	DRAM2
mouse	TMEM77	Dram2
rat	TMEM77	Dram2
human	NAIP	NAIP
mouse	NAIP	Naip1
rat	NAIP	Naip6
human	C5ORF32	CYSTM1
human	UBE2L3	UBE2L3
mouse	UBE2L3	Ube2l3
rat	UBE2L3	Ube2l3
human	C2ORF32	CNRIP1
mouse	C2ORF32	Cnrip1
human	FREQ	NCS1
mouse	FREQ	Ncs1
rat	FREQ	Ncs1
human	PGA3	PGA3
human	MAP3K7IP1	TAB1
mouse	MAP3K7IP1	Tab1
rat	MAP3K7IP1	Tab1
human	UFD1L	UFD1
mouse	UFD1L	Ufd1
human	RAB32	RAB32
mouse	RAB32	Rab32
rat	RAB32	Rab32
human	NPAL3	NIPAL3
mouse	NPAL3	Nipal3
rat	NPAL3	Nipal3
human	NAPRT1	NAPRT
mouse	NAPRT1	Naprt
rat	NAPRT1	Naprt
human	SIRPB1	SIRPB1
mouse	SIRPB1	Sirpb1a
human	C19ORF35	PEAK3
human	C1ORF112	C1orf112
human	C11ORF67	AAMDC
human	GPR177	WLS
mouse	GPR177	Wls
rat	GPR177	Wls
human	EMR2	ADGRE2
human	DEPDC6	DEPTOR
mouse	DEPDC6	Deptor
rat	DEPDC6	Deptor
human	C1ORF107	UTP25
human	ZNF792	ZNF792
human	PPPDE2	DESI1
mouse	PPPDE2	Desi1
rat	PPPDE2	Desi1
human	C9ORF46	PLGRKT
human	MRP63	MRPL57
mouse	MRP63	Mrpl57
rat	MRP63	Mrpl57
rat	NAT8B	Nat8b
human	NAT8B	NAT8B
mouse	NAT8B	Nat8b-ps
human	ZBED5	ZBED5
mouse	ZBED5	Zbed5
rat	ZBED5	Zbed5
human	SCARNA9	SCARNA9
human	SCARNA9	SCARNA9
mouse	SCARNA9	Scarna9
mouse	SCARNA9	Scarna9
human	C7ORF49	CYREN
human	C19ORF59	MCEMP1
human	C6ORF211	ARMT1
human	MTE	MT1IP
human	KIAA1715	LNPK
human	CEP110	CCP110
human	CEP110	CNTRL
mouse	CEP110	Ccp110
mouse	CEP110	Cntrl
rat	CEP110	Cntrl
human	MT1JP	MT1JP
human	C7ORF28A	CCZ1
human	C7ORF28A	CCZ1B
human	UNC84B	SUN2
mouse	UNC84B	Sun2
rat	UNC84B	Sun2
human	C20ORF127	MT1P3
human	C9ORF5	TMEM245
human	C1ORF122	C1orf122
human	ZNF101	ZNF101
human	C8ORF41	TTI2
human	MTMR15	FAN1
mouse	MTMR15	Fan1
rat	MTMR15	Fan1
human	PGBD2	PGBD2
rat	PGBD2	Pgbd2
human	PFTK1	CDK14
mouse	PFTK1	Cdk14
rat	PFTK1	Cdk14
human	MT2A	MT2A
rat	MT2A	Mt2A
human	LASS5	CERS5
mouse	LASS5	Cers5
rat	LASS5	Cers5
human	PLAC2	TINCR
human	C7ORF41	MTURN
human	MT1E	MT1E
human	MT1A	MT1A
mouse	MT1A	Polr2k
rat	MT1A	Mt1
human	HLA-DRB6	HLA-DRB6
human	ZNF594	ZNF594
human	FXC1	TIMM10B
mouse	FXC1	Timm10b
rat	FXC1	Timm10b
human	SFRS8	SFSWAP
mouse	SFRS8	Sfswap
rat	SFRS8	Sfswap
human	NARG1L	NAA16
mouse	NARG1L	Naa16
human	LOC644090	LOC644090
human	C15ORF48	C15orf48
human	C12ORF59	TMEM52B
human	RABL4	IFT27
mouse	RABL4	Ift27
rat	RABL4	Ift27
human	SNX26	ARHGAP33
mouse	SNX26	Arhgap33
rat	SNX26	Arhgap33
human	CAMSAP1L1	CAMSAP2
mouse	CAMSAP1L1	Camsap2
rat	CAMSAP1L1	Camsap2
human	FAM113B	PCED1B
mouse	FAM113B	Pced1b
rat	FAM113B	Pced1b
human	C5ORF13	NREP
human	FAM164A	ZC2HC1A
mouse	FAM164A	Zc2hc1a
rat	FAM164A	Zc2hc1a
human	SFRS6	SRSF6
mouse	SFRS6	Srsf6
rat	SFRS6	Srsf6
human	ZNF650	UBR3
mouse	ZNF650	Ubr3
human	AZI1	AZIN1
human	AZI1	CEP131
mouse	AZI1	Cep131
rat	AZI1	Cep131
human	CCDC111	PRIMPOL
mouse	CCDC111	Primpol
rat	CCDC111	Primpol
human	C5ORF24	C5orf24
human	P2RY5	LPAR6
mouse	P2RY5	Lpar6
rat	P2RY5	Lpar6
human	C22ORF32	SMDT1
human	MT1H	MT1H
human	KIAA1370	FAM214A
mouse	KIAA1370	Fam214a
human	GARNL4	RAP1GAP2
mouse	GARNL4	Rap1gap2
rat	GARNL4	Rap1gap2
human	MT1F	MT1F
rat	MT1F	Mt1f
human	MT1G	MT1G
human	C18ORF1	LDLRAD4
mouse	C18ORF1	Ldlrad4
human	THAP6	THAP6
mouse	THAP6	Thap6
mouse	THAP6	Thap6
rat	THAP6	Thap6
human	CLEC2B	CLEC2B
human	CLEC2B	CLEC1B
human	EIF1AY	EIF1AY
mouse	EIF1AY	Eif1ax
rat	EIF1AY	Eif1ax
human	CYORF15A	TXLNGY
human	FAM40A	STRIP1
mouse	FAM40A	Strip1
rat	FAM40A	Strip1
human	XIST	XIST
mouse	XIST	Xist
mouse	XIST	Xist
human	XIST	XIC
rat	XIST	LOC100911498
human	CYORF15B	TXLNGY
human	ZNF658B	ZNF658B
human	ZNF658B	ZNF658B
human	ZNF468	ZNF468
human	ZNF468	ZNF761
human	RPS4Y1	RPS4Y1
