SPECIES	QUERY	SYMBOL
human	FAM65B	RIPOR2
mouse	FAM65B	Ripor2
rat	FAM65B	Ripor2
human	TICAM2	TICAM2
mouse	TICAM2	Ticam2
rat	TICAM2	Ticam2
human	TICAM2	TMED7-TICAM2
human	SFRS1	SRSF1
mouse	SFRS1	Srsf1
rat	SFRS1	Srsf1
human	UBE2D4	UBE2D4
mouse	UBE2D4	Ube2d4
mouse	UBE2D4	Ube2d4
rat	UBE2D4	Ube2d4
human	C16ORF7	VPS9D1
human	PRR13	PRR13
mouse	PRR13	Prr13
rat	PRR13	Prr13
human	SFRS4	SRSF4
mouse	SFRS4	Srsf4
rat	SFRS4	Srsf4
human	C2ORF44	WDCP
human	ZNF350	ZNF350
human	SUMO1P1	SUMO1P1
human	SUMO1P1	SUMO1P1
human	CCT6A	CCT6A
mouse	CCT6A	Cct6a
rat	CCT6A	Cct6a
human	APOBEC3G	APOBEC3G
human	NOP2	NOP2
mouse	NOP2	Nop2
rat	NOP2	Nop2
human	C13ORF7	RNF219
human	HCCA2	YY1AP1
human	HCCA2	MOB2
rat	HCCA2	Mob2
human	C14ORF149	L3HYPDH
human	ASMTL	ASMTL
rat	ASMTL	Asmtl
human	C16ORF61	CMC2
human	KIAA1797	FOCAD
human	CRKRS	CDK12
mouse	CRKRS	Cdk12
rat	CRKRS	Cdk12
human	WBSCR22	BUD23
mouse	WBSCR22	Bud23
rat	WBSCR22	Bud23
human	ZNF480	ZNF480
human	ARD1A	NAA10
mouse	ARD1A	Naa10
rat	ARD1A	Naa10
mouse	GVIN1	Gvin1
rat	GVIN1	Gvin1
human	GVIN1	GVINP1
human	DCAF16	DCAF16
human	HSPC111	NOP16
human	ARSD	ARSD
human	SNHG3-RCC1	RCC1
human	TMEM48	NDC1
mouse	TMEM48	Ndc1
rat	TMEM48	Ndc1
human	C1ORF163	COA7
human	C14ORF169	RIOX1
mouse	CTPS	Ctps
human	CTPS	CTPS1
rat	CTPS	Ctps1
human	WDR21A	DCAF4
human	C5ORF30	C5orf30
human	CCDC16	ZNF830
mouse	CCDC16	Zfp830
rat	CCDC16	Zfp830
human	C15ORF39	C15orf39
human	C12ORF24	FAM216A
human	ESRRAP2	ESRRAP2
human	ESRRAP2	ESRRAP2
human	C10ORF125	FUOM
human	C8ORF33	C8orf33
human	MKI67IP	NIFK
mouse	MKI67IP	Nifk
rat	MKI67IP	Nifk
human	C12ORF29	C12orf29
human	TOMM5	TOMM5
mouse	TOMM5	Tomm5
rat	TOMM5	Tomm5
human	C6ORF111	PNISR
human	CHCHD8	COA4
mouse	CHCHD8	Coa4
rat	CHCHD8	Coa4
mouse	USMG5	Usmg5
human	USMG5	ATP5MD
rat	USMG5	Atp5md
human	LOC153684	LOC153684
human	C12ORF5	TIGAR
human	C21ORF59	CFAP298
mouse	CMAH	Cmah
human	CMAH	CMAHP
rat	CMAH	Cmahp
human	SNRPG	SNRPG
mouse	SNRPG	Snrpg
rat	SNRPG	Snrpg
human	ZNF134	ZNF134
human	C12ORF45	C12orf45
human	KIAA1826	MSANTD4
human	CCDC76	TRMT13
mouse	CCDC76	Trmt13
rat	CCDC76	Trmt13
human	PAPD1	MTPAP
mouse	PAPD1	Mtpap
rat	PAPD1	Mtpap
human	C7ORF47	PPP1R35
human	MTERF	MTERF1
mouse	MTERF	Mterf1a
rat	MTERF	Mterf1
human	HEATR2	DNAAF5
mouse	HEATR2	Dnaaf5
rat	HEATR2	Dnaaf5
human	RNF126P1	RNF126P1
human	RNF126P1	RNF126P1
human	C14ORF156	SLIRP
human	C6ORF125	UQCC2
human	BAT3	BAG6
mouse	BAT3	Bag6
rat	BAT3	Bag6
human	HADH2	HSD17B10
mouse	HADH2	Hsd17b10
rat	HADH2	Hsd17b10
human	C1ORF19	TSEN15
human	C14ORF80	TEDC1
human	ZNF230	ZNF230
human	ZNF230	RNF141
mouse	ZNF230	Rnf141
human	C14ORF21	NOP9
human	PSCD4	CYTH4
mouse	PSCD4	Cyth4
rat	PSCD4	Cyth4
human	UTP11L	UTP11
mouse	UTP11L	Utp11
rat	UTP11L	Utp11
human	C8ORF38	NDUFAF6
mouse	TOMM70A	Tomm70a
human	TOMM70A	TOMM70
rat	TOMM70A	Tomm70
human	KIAA0495	TP73-AS1
human	C9ORF66	C9orf66
human	NOLA1	GAR1
mouse	NOLA1	Gar1
rat	NOLA1	Gar1
human	KIAA0090	EMC1
human	GNG5	GNG5
mouse	GNG5	Gng5
rat	GNG5	Gng5
human	ZNF193	ZSCAN9
human	SDCCAG10	CWC27
mouse	SDCCAG10	Cwc27
rat	SDCCAG10	Cwc27
human	FAM86A	EEF2KMT
mouse	FAM86A	Eef2kmt
rat	FAM86A	Eef2kmt
human	C6ORF66	NDUFAF4
human	NARG1	NAA15
mouse	NARG1	Naa15
rat	NARG1	Naa15
human	NPIP	NPIPA5
human	NPIP	NPIPB11
human	NPIP	NPIPB3
human	NPIP	NPIPA1
human	NPIP	NPIPA2
human	NPIP	PKD1P1
human	NPIP	NPIPB10P
human	TXNDC14	TMX2
mouse	TXNDC14	Tmx2
human	C15ORF17	FAM219B
human	SFRS17A	AKAP17A
human	TMEM5	RXYLT1
mouse	TMEM5	Rxylt1
rat	TMEM5	Rxylt1
human	CIRH1A	UTP4
mouse	CIRH1A	Utp4
rat	CIRH1A	Utp4
human	COX4NB	EMC8
mouse	COX4NB	Emc8
rat	COX4NB	Emc8
human	C11ORF48	C11orf98
human	C11ORF48	LBHD1
human	C2ORF7	PRADC1
human	ZZZ3	ZZZ3
mouse	ZZZ3	Zzz3
rat	ZZZ3	Zzz3
human	ORC5L	ORC5
mouse	ORC5L	Orc5
rat	ORC5L	Orc5
human	PPIL5	LRR1
mouse	PPIL5	Lrr1
rat	PPIL5	Lrr1
human	C3ORF26	CMSS1
human	NBPF10	NBPF10
human	GIYD1	SLX1A
mouse	GIYD1	Slx1b
rat	GIYD1	Slx1b
human	ZNF630	ZNF630
human	ZNF500	ZNF500
human	CECR5	HDHD5
mouse	CECR5	Hdhd5
rat	CECR5	Hdhd5
human	ZNF615	ZNF615
human	C7ORF36	YAE1
